Time S R 
11.41939 1827 1 
11.41987 1828 1 
11.41992 1829 1 
11.41994 1828 1 
11.42006 1829 1 
11.42074 1828 1 
11.42077 1827 1 
11.42082 1826 1 
11.42103 1825 1 
11.42136 1826 1 
11.42146 1825 1 
11.42155 1824 1 
11.42168 1825 1 
11.42178 1824 1 
11.42214 1823 1 
11.42326 1822 1 
11.42396 1821 1 
11.42469 1822 1 
11.42477 1821 1 
11.42482 1822 1 
11.4249 1821 1 
11.4252 1822 1 
11.42535 1821 1 
11.42592 1820 1 
11.42603 1819 1 
11.42608 1818 1 
11.42637 1819 1 
11.42723 1818 1 
11.42751 1817 1 
11.42774 1818 1 
11.42783 1819 1 
11.42813 1818 1 
11.42874 1817 1 
11.42956 1816 1 
11.42965 1815 1 
11.42999 1814 1 
11.43006 1815 1 
11.43085 1816 1 
11.43146 1817 1 
11.43148 1818 1 
11.43163 1819 1 
11.43175 1818 1 
11.43224 1819 1 
11.43225 1820 1 
11.43278 1821 1 
11.43305 1822 1 
11.43309 1821 1 
11.43317 1820 1 
11.4332 1821 1 
11.43328 1822 1 
11.43372 1821 1 
11.43403 1822 1 
11.43406 1821 1 
11.43421 1820 1 
11.43422 1819 1 
11.43428 1820 1 
11.43466 1819 1 
11.43475 1820 1 
11.43486 1819 1 
11.43489 1820 1 
11.43502 1821 1 
11.43535 1820 1 
11.43557 1821 1 
11.43562 1822 1 
11.43574 1823 1 
11.436 1824 1 
11.43699 1825 1 
11.43703 1824 1 
11.43762 1823 1 
11.43765 1822 1 
11.4377 1823 1 
11.43781 1822 1 
11.43791 1823 1 
11.43817 1822 1 
11.43836 1823 1 
11.43875 1822 1 
11.43921 1821 1 
11.43946 1822 1 
11.43958 1823 1 
11.43989 1822 1 
11.44014 1823 1 
11.44047 1824 1 
11.44089 1823 1 
11.44092 1824 1 
11.44148 1823 1 
11.44153 1822 1 
11.44154 1821 1 
11.44154 1820 1 
11.44197 1819 1 
11.44198 1818 1 
11.44204 1817 1 
11.44246 1818 1 
11.44287 1819 1 
11.44298 1820 1 
11.44305 1819 1 
11.44321 1818 1 
11.44326 1817 1 
11.44329 1816 1 
11.44349 1815 1 
11.44406 1816 1 
11.44411 1815 1 
11.44421 1816 1 
11.44422 1815 1 
11.44433 1814 1 
11.44434 1813 1 
11.44493 1812 1 
11.44506 1813 1 
11.44543 1812 1 
11.44547 1811 1 
11.44549 1810 1 
11.44557 1811 1 
11.44581 1812 1 
11.4463 1813 1 
11.44718 1812 1 
11.44723 1811 1 
11.44742 1810 1 
11.44844 1811 1 
11.44847 1810 1 
11.4489 1811 1 
11.44899 1810 1 
11.44943 1811 1 
11.45027 1810 1 
11.4503 1809 1 
11.45036 1810 1 
11.4504 1811 1 
11.45058 1810 1 
11.45068 1809 1 
11.45105 1808 1 
11.45108 1809 1 
11.45128 1810 1 
11.45133 1809 1 
11.45148 1808 1 
11.45169 1809 1 
11.45174 1808 1 
11.45189 1809 1 
11.45197 1808 1 
11.4523 1809 1 
11.45237 1810 1 
11.4524 1809 1 
11.45249 1808 1 
11.45258 1807 1 
11.45284 1808 1 
11.45304 1809 1 
11.45306 1810 1 
11.45318 1809 1 
11.45332 1810 1 
11.45341 1809 1 
11.45352 1810 1 
11.45398 1809 1 
11.45447 1810 1 
11.45465 1809 1 
11.45523 1808 1 
11.45573 1809 1 
11.45611 1808 1 
11.45625 1807 1 
11.45664 1808 1 
11.45717 1809 1 
11.45731 1810 1 
11.4575 1809 1 
11.45759 1810 1 
11.45854 1809 1 
11.45888 1808 1 
11.45919 1809 1 
11.45935 1808 1 
11.45936 1807 1 
11.45946 1806 1 
11.45969 1807 1 
11.46002 1806 1 
11.46029 1805 1 
11.46137 1806 1 
11.46212 1805 1 
11.46334 1804 1 
11.46339 1805 1 
11.46351 1806 1 
11.46367 1807 1 
11.46383 1806 1 
11.46388 1805 1 
11.46393 1804 1 
11.46452 1805 1 
11.46461 1806 1 
11.46468 1807 1 
11.46497 1808 1 
11.46532 1809 1 
11.46543 1808 1 
11.46555 1807 1 
11.46584 1806 1 
11.46593 1807 1 
11.46603 1808 1 
11.46654 1807 1 
11.46694 1808 1 
11.46706 1809 1 
11.46707 1808 1 
11.46722 1809 1 
11.46754 1810 1 
11.46796 1811 1 
11.46799 1810 1 
11.46802 1811 1 
11.46847 1812 1 
11.46936 1813 1 
11.46937 1814 1 
11.46949 1815 1 
11.46988 1814 1 
11.46997 1813 1 
11.47001 1814 1 
11.4702 1815 1 
11.47032 1816 1 
11.47063 1815 1 
11.47132 1816 1 
11.47154 1817 1 
11.47156 1816 1 
11.47199 1815 1 
11.47232 1814 1 
11.47253 1813 1 
11.47294 1812 1 
11.47334 1811 1 
11.47345 1812 1 
11.47348 1813 1 
11.47402 1812 1 
11.47425 1813 1 
11.47426 1812 1 
11.47434 1811 1 
11.47511 1810 1 
11.47575 1811 1 
11.47583 1810 1 
11.47603 1809 1 
11.47609 1810 1 
11.47641 1811 1 
11.47682 1810 1 
11.47701 1811 1 
11.47719 1810 1 
11.47765 1809 1 
11.47783 1808 1 
11.47858 1807 1 
11.4786 1806 1 
11.47895 1805 1 
11.47907 1806 1 
11.47956 1805 1 
11.47999 1804 1 
11.48156 1803 1 
11.48163 1802 1 
11.48167 1801 1 
11.48172 1802 1 
11.48198 1801 1 
11.48248 1800 1 
11.48274 1801 1 
11.48283 1802 1 
11.48294 1801 1 
11.48354 1802 1 
11.48394 1803 1 
11.48431 1804 1 
11.48434 1803 1 
11.48478 1802 1 
11.48578 1803 1 
11.48661 1802 1 
11.48671 1803 1 
11.48674 1802 1 
11.48699 1801 1 
11.48727 1800 1 
11.48753 1801 1 
11.48813 1802 1 
11.48833 1803 1 
11.48849 1802 1 
11.48876 1803 1 
11.48999 1802 1 
11.4901 1803 1 
11.49039 1802 1 
11.49089 1801 1 
11.49106 1800 1 
11.49114 1801 1 
11.49128 1800 1 
11.49146 1799 1 
11.49181 1798 1 
11.492 1797 1 
11.49224 1796 1 
11.49232 1797 1 
11.49246 1798 1 
11.49271 1797 1 
11.49288 1798 1 
11.49306 1797 1 
11.49341 1798 1 
11.49358 1799 1 
11.49373 1800 1 
11.49381 1801 1 
11.49405 1802 1 
11.49432 1803 1 
11.4945 1802 1 
11.49458 1803 1 
11.49531 1802 1 
11.49574 1801 1 
11.49604 1802 1 
11.49629 1803 1 
11.49694 1804 1 
11.49724 1803 1 
11.49754 1802 1 
11.49759 1801 1 
11.49762 1802 1 
11.49767 1801 1 
11.49811 1800 1 
11.49816 1799 1 
11.49911 1798 1 
11.49911 1799 1 
11.49913 1798 1 
11.49968 1799 1 
11.49984 1798 1 
11.49992 1797 1 
11.50001 1798 1 
11.50034 1797 1 
11.50035 1798 1 
11.50073 1799 1 
11.50118 1800 1 
11.50149 1799 1 
11.5015 1800 1 
11.50156 1799 1 
11.50184 1798 1 
11.50207 1797 1 
11.5021 1798 1 
11.5023 1799 1 
11.50246 1798 1 
11.50271 1797 1 
11.50271 1796 1 
11.50313 1795 1 
11.50327 1796 1 
11.50336 1797 1 
11.50342 1796 1 
11.50349 1797 1 
11.50362 1796 1 
11.50378 1795 1 
11.5041 1796 1 
11.50429 1797 1 
11.50461 1796 1 
11.50522 1797 1 
11.50522 1796 1 
11.50533 1797 1 
11.50557 1796 1 
11.50565 1797 1 
11.50579 1798 1 
11.50654 1797 1 
11.50661 1798 1 
11.5069 1799 1 
11.50731 1798 1 
11.50736 1799 1 
11.50747 1798 1 
11.50759 1799 1 
11.5081 1798 1 
11.50825 1797 1 
11.50844 1798 1 
11.50892 1797 1 
11.50921 1796 1 
11.50974 1797 1 
11.51013 1796 1 
11.51047 1797 1 
11.51063 1796 1 
11.51068 1795 1 
11.51092 1796 1 
11.51135 1797 1 
11.51156 1796 1 
11.51232 1797 1 
11.51308 1798 1 
11.51356 1797 1 
11.51358 1796 1 
11.51414 1795 1 
11.51455 1794 1 
11.51464 1793 1 
11.51465 1794 1 
11.51485 1793 1 
11.51498 1792 1 
11.51504 1791 1 
11.51542 1792 1 
11.51571 1791 1 
11.51586 1790 1 
11.51657 1791 1 
11.51709 1790 1 
11.51724 1791 1 
11.51725 1790 1 
11.51799 1789 1 
11.51821 1788 1 
11.51824 1787 1 
11.51838 1788 1 
11.51851 1787 1 
11.51862 1788 1 
11.51913 1789 1 
11.51914 1790 1 
11.5199 1791 1 
11.52046 1790 1 
11.52057 1791 1 
11.52069 1790 1 
11.52114 1791 1 
11.52134 1792 1 
11.52142 1791 1 
11.52155 1792 1 
11.52163 1793 1 
11.522 1794 1 
11.52221 1793 1 
11.52228 1794 1 
11.5225 1795 1 
11.52263 1796 1 
11.52331 1795 1 
11.52386 1794 1 
11.52412 1793 1 
11.52412 1792 1 
11.52421 1793 1 
11.52468 1794 1 
11.5247 1795 1 
11.52511 1794 1 
11.52565 1793 1 
11.52647 1792 1 
11.52726 1793 1 
11.52744 1794 1 
11.52754 1793 1 
11.52852 1792 1 
11.52856 1793 1 
11.52866 1794 1 
11.52883 1793 1 
11.52894 1792 1 
11.52942 1791 1 
11.52961 1790 1 
11.52984 1789 1 
11.52988 1788 1 
11.53001 1789 1 
11.53001 1788 1 
11.53011 1789 1 
11.53046 1788 1 
11.53081 1787 1 
11.53093 1788 1 
11.53118 1787 1 
11.53166 1786 1 
11.53202 1787 1 
11.53212 1788 1 
11.53242 1787 1 
11.53245 1788 1 
11.53258 1787 1 
11.53336 1786 1 
11.53345 1787 1 
11.53352 1786 1 
11.53356 1787 1 
11.53358 1786 1 
11.53378 1785 1 
11.53445 1784 1 
11.53533 1783 1 
11.53539 1782 1 
11.53549 1781 1 
11.53591 1780 1 
11.53629 1779 1 
11.53635 1780 1 
11.53636 1781 1 
11.53709 1782 1 
11.53744 1781 1 
11.53762 1782 1 
11.53778 1781 1 
11.53784 1782 1 
11.53869 1781 1 
11.53928 1782 1 
11.5395 1781 1 
11.53976 1780 1 
11.54028 1779 1 
11.54031 1780 1 
11.54042 1781 1 
11.54071 1780 1 
11.54077 1781 1 
11.54135 1780 1 
11.54148 1781 1 
11.5415 1782 1 
11.54151 1781 1 
11.54194 1780 1 
11.54231 1779 1 
11.54234 1778 1 
11.54253 1779 1 
11.54262 1780 1 
11.54273 1781 1 
11.54301 1782 1 
11.54372 1781 1 
11.545 1782 1 
11.54501 1783 1 
11.54505 1784 1 
11.54541 1785 1 
11.54547 1786 1 
11.54562 1785 1 
11.54579 1786 1 
11.54602 1787 1 
11.54618 1788 1 
11.5463 1787 1 
11.54654 1788 1 
11.54667 1787 1 
11.54768 1788 1 
11.54837 1787 1 
11.5484 1788 1 
11.54903 1789 1 
11.54933 1790 1 
11.54938 1789 1 
11.54941 1788 1 
11.54943 1789 1 
11.54958 1788 1 
11.5496 1787 1 
11.55003 1786 1 
11.55014 1787 1 
11.55037 1786 1 
11.55097 1785 1 
11.55103 1784 1 
11.55129 1785 1 
11.55146 1784 1 
11.55174 1785 1 
11.55187 1786 1 
11.55328 1787 1 
11.55336 1788 1 
11.55394 1787 1 
11.55422 1788 1 
11.55482 1787 1 
11.55495 1788 1 
11.55511 1787 1 
11.55552 1786 1 
11.55557 1785 1 
11.55569 1786 1 
11.55591 1785 1 
11.55602 1784 1 
11.55659 1783 1 
11.55663 1782 1 
11.55728 1781 1 
11.55733 1780 1 
11.55738 1779 1 
11.55799 1778 1 
11.55842 1779 1 
11.55875 1780 1 
11.55893 1781 1 
11.55899 1780 1 
11.55933 1779 1 
11.56028 1778 1 
11.56036 1777 1 
11.56073 1778 1 
11.56114 1777 1 
11.56127 1778 1 
11.56139 1779 1 
11.56144 1778 1 
11.56144 1779 1 
11.56158 1780 1 
11.56178 1781 1 
11.56216 1780 1 
11.56341 1779 1 
11.56346 1778 1 
11.56361 1777 1 
11.56367 1776 1 
11.56433 1775 1 
11.56463 1774 1 
11.56477 1775 1 
11.56501 1774 1 
11.56518 1775 1 
11.56534 1776 1 
11.56569 1777 1 
11.56625 1778 1 
11.56628 1777 1 
11.56682 1776 1 
11.56687 1777 1 
11.56712 1778 1 
11.56715 1777 1 
11.56724 1778 1 
11.56726 1779 1 
11.56734 1778 1 
11.56765 1777 1 
11.56787 1776 1 
11.56802 1775 1 
11.5681 1776 1 
11.56834 1777 1 
11.56899 1776 1 
11.56921 1775 1 
11.56984 1776 1 
11.57015 1777 1 
11.57015 1776 1 
11.57021 1777 1 
11.57046 1776 1 
11.57069 1775 1 
11.57085 1774 1 
11.57089 1773 1 
11.57144 1774 1 
11.57165 1775 1 
11.572 1776 1 
11.57214 1777 1 
11.57247 1776 1 
11.57266 1777 1 
11.57318 1776 1 
11.57357 1777 1 
11.57395 1778 1 
11.57446 1779 1 
11.57481 1780 1 
11.57549 1779 1 
11.57553 1780 1 
11.57568 1779 1 
11.57672 1778 1 
11.57729 1777 1 
11.57793 1778 1 
11.57811 1777 1 
11.57827 1776 1 
11.57863 1777 1 
11.57868 1778 1 
11.57889 1779 1 
11.57921 1780 1 
11.5794 1781 1 
11.58045 1780 1 
11.58115 1781 1 
11.58147 1780 1 
